date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:47	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.1466fb5.delayed	(from https://sites.google.com/site/deansbook/scottish-gaelic-features-in-the-bdl-texts)
14:52:47	11380/11380	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/scottish-gaelic-features-in-the-bdl-texts/eclipsis	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuse7780.html	(from https://sites.google.com/site/deansbook/scottish-gaelic-features-in-the-bdl-texts)
14:52:48	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.148.delayed	(from https://sites.google.com/site/deansbook/scottish-gaelic-features-in-the-bdl-texts)
14:52:48	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.1496fb5.delayed	(from https://sites.google.com/site/deansbook/scottish-gaelic-features-in-the-bdl-texts)
14:52:48	11380/11380	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/scottish-gaelic-features-in-the-bdl-texts/verb-forms	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuse7217.html	(from https://sites.google.com/site/deansbook/scottish-gaelic-features-in-the-bdl-texts)
14:52:49	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.14b.delayed	(from https://sites.google.com/site/deansbook/scottish-gaelic-features-in-the-bdl-texts)
14:52:49	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.14c6fb5.delayed	(from https://sites.google.com/site/deansbook/scottish-gaelic-features-in-the-bdl-texts)
14:52:49	11380/11380	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/scottish-gaelic-features-in-the-bdl-texts/noun-endings--definite-article	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuse9dad.html	(from https://sites.google.com/site/deansbook/scottish-gaelic-features-in-the-bdl-texts)
14:52:50	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.14e.delayed	(from https://sites.google.com/site/deansbook/scottish-gaelic-features-in-the-bdl-texts)
14:52:50	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.14f6fb5.delayed	(from https://sites.google.com/site/deansbook/scottish-gaelic-features-in-the-bdl-texts)
